Source,Target,weight,distance
DC321,DC111,1,2
DC321,DC112,0,3
DC321,DC113,0,3
DC321,DC114,0,3
DC321,DC121,2,1
DC321,DC122,1,2
DC321,DC123,1,2
DC321,DC124,1,2
DC321,DC131,1,2
DC321,DC132,1,2
DC321,DC133,0,3
DC321,DC134,0,3
DC321,DC141,1,2
DC321,DC142,0,3
DC321,DC143,0,3
DC321,DC144,0,3
DC321,DC211,1,2
DC321,DC311,2,1
DC321,DC312,1,2
DC321,DC313,1,2
DC321,DC314,1,2
DC321,DC317,1,2
DC321,DC321,3,0
DC321,DC322,2,1
DC321,DC323,2,1
DC321,DC324,2,1
DC321,DC801,1,2
DC321,SC-01,0,3
DC321,IA-21,0,3
775#1,775-01,1,2
775#1,776-01,0,3
775#1,777-01,0,3
775#1,778-01,0,3
775#1,778-13,0,3
775#1,778-14,0,3
775#1,778-15,0,3
775#1,778-16,0,3
775#1,778-17,0,3
775#1,778-19,0,3
776#1,775-01,0,3
776#1,776-01,1,2
776#1,776-02,0,3
776#1,776-04,0,3
776#1,776-05,0,3
776#1,776-06,0,3
776#1,776-07,0,3
776#1,777-01,0,3
776#1,778-01,0,3
776#1,778-13,0,3
776#1,778-14,0,3
776#1,778-15,0,3
776#1,778-16,0,3
776#1,778-17,0,3
776#1,778-19,0,3
776#5,776-01,0,3
776#5,776-02,0,3
776#5,776-04,0,3
776#5,776-05,1,2
776#5,776-06,0,3
776#5,776-07,0,3
776#5,777-05,0,3
776#5,778-15,0,3
777#3,777-01,0,3
777#3,777-02,0,3
777#3,777-03,1,2
777#3,777-04,0,3
777#3,777-05,0,3
777#3,777-06,0,3
777#3,777-07,0,3
777#3,777-08,0,3
777#3,777-09,0,3
777#3,778-13,0,3
777#4,776-04,0,3
777#4,777-01,0,3
777#4,777-02,0,3
777#4,777-03,0,3
777#4,777-04,1,2
777#4,777-05,0,3
777#4,777-06,0,3
777#4,777-07,0,3
777#4,777-08,0,3
777#4,777-09,0,3
777#4,778-14,0,3
777#5,776-05,0,3
777#5,777-01,0,3
777#5,777-02,0,3
777#5,777-03,0,3
777#5,777-04,0,3
777#5,777-05,1,2
777#5,777-06,0,3
777#5,777-07,0,3
777#5,777-08,0,3
777#5,777-09,0,3
777#5,778-15,0,3
777#6,776-06,0,3
777#6,777-01,0,3
777#6,777-02,0,3
777#6,777-03,0,3
777#6,777-04,0,3
777#6,777-05,0,3
777#6,777-06,1,2
777#6,777-07,0,3
777#6,777-08,0,3
777#6,777-09,0,3
777#6,778-16,0,3
778#2,776-02,0,3
778#2,777-02,0,3
778#2,778-01,0,3
778#2,778-02,1,2
778#2,778-07,0,3
778#2,778-08,0,3
778#2,778-13,0,3
778#2,778-14,0,3
778#2,778-15,0,3
778#2,778-16,0,3
778#2,778-17,0,3
778#2,778-19,0,3
778#2,778-20,1,2
778#2,778-22,1,2
778#22,776-02,0,3
778#22,777-02,0,3
778#22,778-01,0,3
778#22,778-02,1,2
778#22,778-07,0,3
778#22,778-08,0,3
778#22,778-13,0,3
778#22,778-14,0,3
778#22,778-15,0,3
778#22,778-16,0,3
778#22,778-17,0,3
778#22,778-19,0,3
778#22,778-20,1,2
778#22,778-22,2,1
822#10,822-01,0,3
822#10,822-02,0,3
822#10,822-03,0,3
822#10,822-04,0,3
822#10,822-05,0,3
822#10,822-06,0,3
822#10,822-07,0,3
822#10,822-08,0,3
822#10,822-09,0,3
822#10,822-10,2,1
822#10,822-11,1,2
822#10,822-12,1,2
822#10,822-13,1,2
822#10,822-14,1,2
822#10,822-15,1,2
822#3,822-01,0,3
822#3,822-02,0,3
822#3,822-03,1,2
822#3,822-04,0,3
822#3,822-05,0,3
822#3,822-06,0,3
822#3,822-07,0,3
822#3,822-08,0,3
822#3,822-09,0,3
822#3,822-10,0,3
822#3,822-11,0,3
822#3,822-12,0,3
822#3,822-13,1,2
822#3,822-14,0,3
822#3,822-15,0,3
822#4,822-01,0,3
822#4,822-02,0,3
822#4,822-03,0,3
822#4,822-04,1,2
822#4,822-05,0,3
822#4,822-06,0,3
822#4,822-07,0,3
822#4,822-08,0,3
822#4,822-09,0,3
822#4,822-10,0,3
822#4,822-11,0,3
822#4,822-12,0,3
822#4,822-13,0,3
822#4,822-14,1,2
822#4,822-15,0,3
822#5,822-01,0,3
822#5,822-02,0,3
822#5,822-03,0,3
822#5,822-04,0,3
822#5,822-05,1,2
822#5,822-06,0,3
822#5,822-07,0,3
822#5,822-08,0,3
822#5,822-09,0,3
822#5,822-10,0,3
822#5,822-11,0,3
822#5,822-12,0,3
822#5,822-13,0,3
822#5,822-14,0,3
822#5,822-15,1,2
822#7,822-01,0,3
822#7,822-02,0,3
822#7,822-03,0,3
822#7,822-04,0,3
822#7,822-05,0,3
822#7,822-06,0,3
822#7,822-07,1,2
822#7,822-08,0,3
822#7,822-09,0,3
822#7,822-10,0,3
822#7,822-11,0,3
822#7,822-12,0,3
822#7,822-13,0,3
822#7,822-14,0,3
822#7,822-15,0,3
822#8,822-01,0,3
822#8,822-02,0,3
822#8,822-03,0,3
822#8,822-04,0,3
822#8,822-05,0,3
822#8,822-06,0,3
822#8,822-07,0,3
822#8,822-08,1,2
822#8,822-09,0,3
822#8,822-10,0,3
822#8,822-11,0,3
822#8,822-12,0,3
822#8,822-13,0,3
822#8,822-14,0,3
822#8,822-15,0,3
822#9,822-01,0,3
822#9,822-02,0,3
822#9,822-03,0,3
822#9,822-04,0,3
822#9,822-05,0,3
822#9,822-06,0,3
822#9,822-07,0,3
822#9,822-08,0,3
822#9,822-09,1,2
822#9,822-10,0,3
822#9,822-11,0,3
822#9,822-12,0,3
822#9,822-13,0,3
822#9,822-14,0,3
822#9,822-15,0,3
DC111,SDA-11,0,3
DC111,SDCK01,0,3
DC111,SDCP01,0,3
DC111,DC102,1,2
DC111,DC103,1,2
DC111,DC111,3,0
DC111,DC112,2,1
DC111,DC113,2,1
DC111,DC114,2,1
DC111,DC121,2,1
DC111,DC122,1,2
DC111,DC123,1,2
DC111,DC124,1,2
DC111,DC131,2,1
DC111,DC132,1,2
DC111,DC133,1,2
DC111,DC134,1,2
DC111,DC141,2,1
DC111,DC142,1,2
DC111,DC143,1,2
DC111,DC144,1,2
DC111,DC211,2,1
DC111,DC311,2,1
DC111,DC312,1,2
DC111,DC313,1,2
DC111,DC314,1,2
DC111,DC317,1,2
DC111,DC321,1,2
DC111,DC322,0,3
DC111,DC323,0,3
DC111,DC324,0,3
DC111,DC801,1,2
DC111,SC-01,0,3
DC111,AA-11,0,3
DC111,IA-11,0,3
DC111,KA-11,0,3
DC111,MA-11,0,3
DC111,MB-11,0,3
DC112,SDC02,0,3
DC112,SDA-12,0,3
DC112,DC102,2,1
DC112,DC103,1,2
DC112,DC111,2,1
DC112,DC112,3,0
DC112,DC113,2,1
DC112,DC114,2,1
DC112,DC121,1,2
DC112,DC122,2,1
DC112,DC123,1,2
DC112,DC124,1,2
DC112,DC131,1,2
DC112,DC132,2,1
DC112,DC133,1,2
DC112,DC134,1,2
DC112,DC141,1,2
DC112,DC142,2,1
DC112,DC143,1,2
DC112,DC144,1,2
DC112,DC211,1,2
